"GEOID","year","population","male","female","male_ratio","norm_age_0_19","norm_age_20_69","norm_age_70_plus","race_diversity","unemployment_rate","median_income","mean_income","PercFamiliesBelowPovertyline","HU_occupied_perc","rent_rate","HU_avg_HHsize_owner","HU_avg_HHsize_renter","YB_before_1979_pct","YB_1980_2019_pct","dummy_BY_thredhold50perc"
6037216300,2010,4506,2151,2355,47.7363515312916,13.1,73,13.8,58.0935534196255,6.7,56510,100300,8.1,98.1,68.2936507936508,2.24,1.64,89.5493767976989,10.4506232023011,0
6037216700,2010,4288,1936,2352,45.1492537313433,22.2,66.4,11.4,66.5622737525061,7.4,54257,77767,8.8,93.3,61.2623045744065,2.09,2.74,84.794952681388,15.205047318612,0
6037213402,2010,4921,2587,2334,52.5706157285105,28.7,67,4.1,69.2435956513647,7.1,36858,45326,16.8,93.7,87.0525059665871,4.42,3.04,79.2995622263915,20.7004377736085,0
6037214000,2010,3734,1771,1963,47.4290305302625,29.7,60.6,9.6,14.9064216572391,3.9,101830,126570,4.9,98.1,44.3971631205674,2.81,2.56,93.2551319648094,6.74486803519062,0
6037214100,2010,4449,2151,2298,48.347943358058,29.8,64.1,6.2,13.554774596093,5.3,116103,170235,3.2,93.6,58.9186176142698,3.03,2.43,97.0752955818295,2.9247044181705,0
6037214400,2010,2719,1340,1379,49.2828245678558,5.1,92.8,2,22.6050157710828,7.4,79076,99578,0,89.4,88.8583973655324,NA,1.67,97.4205158968206,2.57948410317936,0
6037216800,2010,3531,1831,1700,51.8549985839705,21.2,74.2,4.7,39.2813869084127,7.9,108558,144602,8.2,96.4,61.8025751072961,2.33,2.2,90.1281085154484,9.87189148455162,0
6037216900,2010,4927,2397,2530,48.6502942967323,17,74,8.9,65.616288866775,5.7,54892,80947,4.1,96.3,61.0079575596817,2.1,1.8,93.0392553622015,6.96074463779846,0
6037217100,2010,5887,3050,2837,51.8090708340411,22.6,72.6,4.8,62.8856198337473,6.7,49682,66020,5.8,93.5,71.8992248062015,3.23,2.2,92.1496095355528,7.85039046444718,0
6037217200,2010,3787,1785,2002,47.1349353049908,28.2,62.7,9,71.5182630054355,7.6,47179,71732,13.7,88.4,57.2585309427415,2.2,2.63,91.1691542288557,8.83084577114428,0
6037218110,2010,3163,1528,1635,48.3085678153652,26.6,64.5,8.9,71.4059346284682,6.3,37922,48731,10.8,98.8,72.2356739305892,2.01,2.78,97.3491773308958,2.6508226691042,0
